disease,disease_id,donor_1,donor_2,score_method,pearson_r,n_common_regions
Epilepsy,epilepsy,10021,15697,weighted,0.8030867742051059,57
Epilepsy,epilepsy,10021,9861,broad,0.25845115752833886,123
Epilepsy,epilepsy,10021,9861,stringent,0.6224499187542528,123
Epilepsy,epilepsy,10021,9861,weighted,0.6120248452032976,123
Epilepsy,epilepsy,12876,14380,broad,0.4905815956710655,58
Epilepsy,epilepsy,12876,14380,stringent,0.7777263704235088,58
Epilepsy,epilepsy,12876,14380,weighted,0.7810799518686541,58
Epilepsy,epilepsy,12876,15496,broad,0.5620335691073255,55
Epilepsy,epilepsy,12876,15496,stringent,0.7076199517147271,55
Epilepsy,epilepsy,12876,15496,weighted,0.7304072012763682,55
Epilepsy,epilepsy,12876,15697,broad,0.5758559572456744,55
Epilepsy,epilepsy,12876,15697,stringent,0.7658432813806347,55
Epilepsy,epilepsy,12876,15697,weighted,0.8134842842922363,55
Epilepsy,epilepsy,12876,9861,broad,0.4731004630132464,56
Epilepsy,epilepsy,12876,9861,stringent,0.6999363737697779,56
Epilepsy,epilepsy,12876,9861,weighted,0.6642231002788287,56
Epilepsy,epilepsy,14380,15496,broad,0.61170296641927,57
Epilepsy,epilepsy,14380,15496,stringent,0.6148218359780191,57
Epilepsy,epilepsy,14380,15496,weighted,0.6650413693183161,57
Epilepsy,epilepsy,14380,15697,broad,0.7215740710646626,57
Epilepsy,epilepsy,14380,15697,stringent,0.7911734770094171,57
Epilepsy,epilepsy,14380,15697,weighted,0.8396519150004238,57
Epilepsy,epilepsy,14380,9861,broad,0.40968832216375733,59
Epilepsy,epilepsy,14380,9861,stringent,0.6184248433271476,59
Epilepsy,epilepsy,14380,9861,weighted,0.5868007234317596,59
Epilepsy,epilepsy,15496,15697,broad,0.7782608552766608,56
Epilepsy,epilepsy,15496,15697,stringent,0.7846725461262885,56
Epilepsy,epilepsy,15496,15697,weighted,0.835254974523801,56
Epilepsy,epilepsy,15496,9861,broad,0.42680226725638354,55
Epilepsy,epilepsy,15496,9861,stringent,0.7153124680490103,55
Epilepsy,epilepsy,15496,9861,weighted,0.7292862621984494,55
Epilepsy,epilepsy,15697,9861,broad,0.541518217654038,59
Epilepsy,epilepsy,15697,9861,stringent,0.731120488707714,59
Epilepsy,epilepsy,15697,9861,weighted,0.6981274022921391,59
Migraine,migraine,10021,12876,broad,0.20860219421486287,56
Migraine,migraine,10021,12876,stringent,0.36123726402388867,56
Migraine,migraine,10021,12876,weighted,0.26611774584865394,56
Migraine,migraine,10021,14380,broad,0.11590266742535395,59
Migraine,migraine,10021,14380,stringent,0.03981067978070987,59
Migraine,migraine,10021,14380,weighted,0.18833480934825939,59
Migraine,migraine,10021,15496,broad,0.3491594072198417,56
Migraine,migraine,10021,15496,stringent,0.303866332070187,56
Migraine,migraine,10021,15496,weighted,0.3462431310682893,56
Migraine,migraine,10021,15697,broad,0.2285898385635611,57
Migraine,migraine,10021,15697,stringent,0.2919972386584622,57
Migraine,migraine,10021,15697,weighted,0.31121576078885244,57
Migraine,migraine,10021,9861,broad,0.13321175223389714,123
Migraine,migraine,10021,9861,stringent,0.22121845746296875,123
Migraine,migraine,10021,9861,weighted,0.20474152568609139,123
Migraine,migraine,12876,14380,broad,0.10658506988524044,58
Migraine,migraine,12876,14380,stringent,0.12827879398354097,58
Migraine,migraine,12876,14380,weighted,0.15998468376795918,58
Migraine,migraine,12876,15496,broad,0.2386369663729076,55
Migraine,migraine,12876,15496,stringent,0.16312821700087368,55
Migraine,migraine,12876,15496,weighted,0.20447336801273996,55
Migraine,migraine,12876,15697,broad,-0.06304490658417732,55
