gene_set_version,region_id,region_name,stage6_z,stage6_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank
broad,60,Fusiform R,0.2645484482028563,0.9198545261752894,0.4213578642135786,0.9320486555995563,0.5786421357864213,57
broad,61,Postcentral L,-0.4895936979946692,0.9936028619360286,0.6799320067993201,0.9791793547917935,0.3200679932006799,95
broad,62,Postcentral R,-0.9629236766491068,0.9936028619360286,0.7847215278472153,0.9791793547917935,0.21527847215278473,102
broad,63,Parietal Sup L,1.0853228698229354,0.6923950462096646,0.19718028197180282,0.8898642050688548,0.8028197180281972,29
broad,64,Parietal Sup R,-1.2153517946850592,0.9936028619360286,0.8331166883311669,0.9791793547917935,0.16688331166883308,109
broad,65,Parietal Inf L,-0.1779977309453705,0.9198545261752894,0.5808419158084192,0.9320486555995563,0.41915808419158085,86
broad,66,Parietal Inf R,0.7828773780648527,0.7490679503478223,0.28617138286171384,0.8898642050688548,0.7138286171382862,43
broad,67,SupraMarginal L,1.534522024029986,0.5321092890710929,0.08959104089591041,0.799508284465671,0.9104089591040896,13
broad,68,SupraMarginal R,-1.7314979988503567,0.9936028619360286,0.9295070492950704,0.9791793547917935,0.07049295070492956,130
broad,69,Angular L,1.138350898590986,0.6434245464342455,0.19058094190580943,0.8898642050688548,0.8094190580941906,27
broad,70,Angular R,0.1834030624100952,0.9198545261752894,0.45955404459554045,0.9320486555995563,0.5404459554044596,62
broad,71,Precuneus L,-1.4070787519654135,0.9936028619360286,0.8403159684031597,0.9791793547917935,0.1596840315968403,112
broad,72,Precuneus R,1.44671087879517,0.5584809940058626,0.17068293170682933,0.8898642050688548,0.8293170682931706,25
